adb server is out of date.  killing...
03-21 23:37:37.799 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.799 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.799 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.799 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.800 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.800 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.800 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.800 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.800 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.801 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.802 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.802 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.802 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.802 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.802 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.803 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.803 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.803 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.804 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.804 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.804 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.804 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.805 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.805 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.805 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.805 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.805 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.806 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.807 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.807 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.807 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.807 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.807 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.808 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.808 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.808 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.809 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.809 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.809 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.809 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.810 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.810 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.810 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.810 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.810 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.811 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.812 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.812 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.812 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.812 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.812 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.813 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.813 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.813 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.814 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.814 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.814 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.814 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.815 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.815 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.815 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.815 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.815 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.816 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.817 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.817 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.817 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.817 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.817 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.818 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.818 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.818 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.819 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.819 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.819 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.819 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.820 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.820 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.820 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.820 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.820 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.821 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.821 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.822 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.822 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.822 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.822 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.822 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.823 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.823 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.823 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.824 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.824 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.824 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.825 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.825 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.825 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.825 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.825 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.826 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.826 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.826 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.827 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.827 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.827 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.827 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.828 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.828 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.829 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.829 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.829 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.829 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.830 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.830 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.830 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.830 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.830 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.831 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.831 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.831 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.832 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.832 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.832 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.832 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.833 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.833 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.833 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.833 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.833 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.834 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.835 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.835 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.835 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.835 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.835 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.836 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.836 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.836 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.837 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.837 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.837 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.837 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.838 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.838 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.838 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.838 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.838 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.839 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.840 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.840 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.840 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.840 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.840 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.841 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.841 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.841 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.842 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.842 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.842 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.842 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.843 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.843 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.843 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.843 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.843 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.844 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.845 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.845 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.845 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.845 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.845 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.846 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.846 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.846 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.847 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.847 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.847 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.847 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.848 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.848 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.848 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.848 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.848 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.849 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.850 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.850 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.850 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.850 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.850 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.851 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.851 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.851 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.852 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.852 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.852 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.852 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.853 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.853 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.853 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.853 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.853 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.854 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.855 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.855 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.855 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.855 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.855 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.856 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.856 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.856 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.857 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.857 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.857 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.857 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.858 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.858 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.858 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.858 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.858 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.859 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.859 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.860 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.860 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.860 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.860 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.861 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.861 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.861 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.862 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.862 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.862 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.862 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.863 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.863 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.863 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.863 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.863 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.864 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.864 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.865 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.865 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.865 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.865 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.866 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.866 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.866 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.866 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.867 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.867 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.867 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.868 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.868 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.868 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.868 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.868 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.869 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.869 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.869 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.870 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.870 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.870 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.870 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.871 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.871 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.871 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.871 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.871 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.872 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.873 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.873 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.873 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.873 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.873 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.874 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.874 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.874 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.875 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.875 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.875 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.875 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.876 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.876 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.876 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.876 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.876 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.877 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.878 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.878 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.878 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.878 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.878 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.879 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.879 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.879 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.880 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.880 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.880 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.880 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.881 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:37.881 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:37.881 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:37.881 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:37.881 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:37.882 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
